n,run,theta_NO,theta_BH,t_NO,t_BH
400,14,0.0009347999002784491,0.3173029999015853,14.187433400074951,1.6104537000646815
400,15,0.0008485999424010515,0.31917360005900264,13.621357800089754,1.8436736000003293
400,16,0.0010187000734731555,0.32040590001270175,13.698753700009547,1.6311656000325456
400,17,0.000914999982342124,0.3061100000049919,13.710288500064053,1.6105557000264525
400,18,0.0008435000199824572,0.30662990000564605,13.250604899949394,1.7846581999910995
400,19,0.0008426998974755406,0.3231880000093952,13.646164200035855,1.7326283000875264
400,20,0.0008417000062763691,0.30652199999894947,14.051463600015268,1.5726080000167713
400,21,0.0008444000268355012,0.3067075000144541,13.173345300019719,1.8545925000216812
400,22,0.0008419000077992678,0.3135330999502912,13.375895400065929,2.3654540000716224
400,23,0.0008536999812349677,0.305566499941051,13.545032100053504,1.6298316000029445
